案例标题,案例编号,公司,DOI,学科,行业,案例来源,案例类型,适用对象,出版时间,第一作者,其他作者,语种,关键字,案例标签,文章页数,教参页数,案例摘要
 践行“优雅生活“：科勒的二十年中国之路,FDC-18011-1X-CC,科勒集团有限公司,doi.org/10.12156/FUDAN.CASE201801101,综合管理,制造,复旦大学管理学院,标准案例,"MBA,EMBA",2019-01-02 04:44:03,吴哲颖,,中文,"市场进入,竞争战略,家庭厨卫,本地化,企业国际化",,23,6,科勒集团是生产销售厨卫产品和家具的美国家族企业，在2018年迎来了自己第245个生日。中国的消费者对于科勒的浴缸、洁具等产品也毫不陌生，早在改革开放之初，科勒的产品就伴随着锦江饭店等高档酒店，进入中国消费者的视野。随着中国消费者生活品质和消费观念的升级换代，科勒集团正面对着来自互联网新销售模式和智能制造的又一次环境变化。科勒该如何调整运营战略，来适应源于销售和生产两方面的新变化？
三只松鼠带来“新坚果”,FDC-18012-1X-CC,三只松鼠,doi.org/10.12156/FUDAN.CASE201801201,综合管理,贸易/批发/零售,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2019-01-18 09:33:40,李治国,张洁友 ,中文,"电商,新零售,战略转型,数字供应链,休闲食品",数字中国,18,15,三只松鼠公司2012年依托纯线上平台进入坚果细分市场，迅速成长为中国规模最大的食品电商企业之一。但2017年后，伴随竞争加剧、电商红利式微及数字经济与新零售时代的到来，三只松鼠增速放缓，创始人章燎原意识到企业即将面临严峻的挑战，决定带领尚处于电商巅峰状态的三只松鼠向数字供应链企业转型突围。作为新经济环境下的代表性企业，三只松鼠的快速成长及转型背后既有典型的时代共性又有鲜明的企业个性，对于企业家创新创业及战略转型均有一定的借鉴意义。
科大讯飞：从技术到商业模式的创新路径,FDC-18013-1X-CC,科大讯飞股份有限公司,doi.org/10.12156/FUDAN.CASE201801301,战略,新一代信息技术,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2019-02-25 11:10:28,宁钟,张军平，张洁友，王芷涵,中文,"平台+赛道,人工智能,技术创新,商业模式","科创,数字中国",17,19,在将近20年的时间里，科大讯飞由中国科技大学校园里的“十八罗汉”起步，逐渐成长为中国的“智能语音产业国家队”。秉承“顶天立地”的发展战略，科大讯飞追求既要拥有自主知识产权的、国际领先的核心技术，又要推动技术成果实现大规模产业化应用。在技术创新过程中，科大讯飞摸索出一条从源头开发到市场应用的路径。与此同时，面对快速变化的高科技市场与日益激烈的竞争，科大讯飞在to B与to C的商业模式之间经历了长时间的彷徨与探索。作为一家高科技公司以及在校大学生创业企业，科大讯飞的发展路径具有较强的代表性。
国金涌富——智能投顾创新大众财富管理模式,FDC-18014-1X-CC,国金涌富,doi.org/10.12156/FUDAN.CASE201801401,金融与财务,金融/保险,复旦大学管理学院,标准案例,MBA,2020-02-14 04:07:28,罗妍,,中文,"投资理财,投资者画像,服务创新,智能投顾,财富管理",数字中国,21,8,本案例介绍了国内首家“大数据+FOF资管生态服务商”——国金涌富资产管理有限公司的智能投顾业务。重点讨论了五个方面：智能投顾模式对大众财富管理模式带来的革新；智能投顾所应运用的金融学理念；如何从各类数据里挖掘投资者行为偏好；智能投顾如何应用新兴技术实现投资者需求与产品的匹配；在中国市场发展智能投顾的机遇及可能遇到的挑战。
浪潮集团的大数据战略,FDC-19001-1X-CC,浪潮集团,doi.org/10.12156/FUDAN.CASE201900101,信息技术,互联网/信息/通讯,复旦大学管理学院,标准案例,MBA,2019-03-21,许博,,中文,"大数据,平台生态,转型,数据交易,云计算",科创,18,8,浪潮集团是国内一家著名的IT企业，从上世纪80年代制造微机开始逐步发展成为中国最大的服务器制造商和解决方案提供商。2010年后，浪潮实施云计算战略，推出政务云和行业云，成为国内重要的云计算服务商。目前，大数据已经成为推动经济发展和产业升级的新动力。浪潮正在将大数据作为企业发展的核心战略，致力于发展企业的大数据生态，向大数据产业转型。如何实现这一战略目标，浪潮集团正在做深入的探索。
“东航那碗面”,FDC-19002-1X-CC,东方航空食品有限公司,doi.org/10.12156/FUDAN.CASE201900201,综合管理,交通/物流/仓储,复旦大学管理学院,标准案例,"MBA,EMBA",2019-04-19,李治国,萧柏春，张洁友,中文,"自主品牌,服务创新,互补品,定位,转型",,21,17, “东航那碗面”是东航食品于2017年推出的自主品牌，定位为精品航空配餐服务。随着“东航那碗面”在航空界影响力的提升，东航食品希望将其推向社会市场，在服务好航空运输主业的同时，公司逐渐由代工贴牌生产向建立自有品牌转型。 本案例通过引导学员对“东航那碗面”的服务创新、品牌建设与东航食品发展战略的思考，帮助他们理解航空食品产业正在发生的变化，以及互补品战略、自主品牌、营销定位对于企业经营的影响。
eBay：领导力转型,FDC-19003-1X-CC,亿贝软件工程（上海）有限公司,doi.org/10.12156/FUDAN.CASE201900301,人力资源,互联网/信息/通讯,复旦大学管理学院,标准案例,"MBA,EMBA",2019-04-24,彭贺,张春依,中文,"领导力,人才激励,企业文化,互联网科技,空降高管",科创,28,13,案例主要描述eBay中国研发中心总经理田卫女士自2012年空降总经理职位以来，如何领导eBay中国研发中心发展壮大的过程。在互联网企业变革转型的大环境下，田卫一波三折重塑团队并带领团队实现文化转型的五个艰难过程。
迈向数字化转型的三川智慧,FDC-19004-1X-CC,三川智慧,doi.org/10.12156/FUDAN.CASE201900401,信息技术,制造,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2019-06-10,刘杰,张洁友,中文,"物联网,智慧城市,数字化转型,技术研发","科创,数字中国",16,12,"三川智慧的前身为鹰潭市水表厂，2010在深圳创业板上市，成为江西省第一家创业板上市公司，也是国内首家以水表为主业的上市公司。
近年来，在董事长李建林的带领下，三川智慧的业务正在经历从制造业向服务业延伸的转型发展过程。三川智慧先后推出的物联网C表及NB-IoT智能水表都代表了行业高度，NB-IoT智能水表具有低功耗、广覆盖及表表互联的优点，由此又衍生了降低产销差、维修预警等水务服务功能。
而随着三川智慧NB-IoT智能水表的普及，以及其采集数据的即时性与海量特征，这为李建林开启了更大的想象空间：未来不仅将迎来NB-IoT智能水表与智慧水务的市场机遇，更大的业务还有挖掘大数据的价值。"
金卡智能的转型之路,FDC-19005-1X-CC,金卡智能集团股份有限公司,doi.org/10.12156/FUDAN.CASE201900501,信息技术,制造,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2019-07-01,刘杰,张洁友，杨雁琤,中文,"技术升级,物联网,数字化转型,Saas服务","科创,数字中国",16,17,金卡智能在为燃气公司提供服务的过程中，随着集聚的客户数据越来越多，创始人杨斌意识到，如能帮助燃气公司客户挖掘这些数据的价值将迎来巨大的商机。然而，杨斌也清醒地认识到，无论是燃气公司客户，还是通信运营商或物联网巨头，都对“得数据者得天下”英雄所见略同。一方面，金卡智能自身并不拥有数据的产权优势；另一方面，市场竞争对手们也紧紧地盯着金卡智能，通过价格等手段阻止金卡智能市场的拓展。那么，接下来的金卡智能又该向哪个方向发展呢？
丁香园：打造互联网医疗健康服务平台,FDC-19006-1X-CC,丁香园,doi.org/10.12156/FUDAN.CASE201900601,信息技术,互联网/信息/通讯,复旦大学管理学院,标准案例,"MBA,EMBA",2019-07-18,王有为,,中文,"互联网医疗,内容社区,电子商务平台,丁香园","科创,数字中国",26,16,丁香园是一家互联网医疗行业的创业企业，在to D和to B方面的业务市场占有率比较稳定。然而，在最近2年开始着力的to C领域中存在着诸多的竞争对手，起步晚于丁香园的平安好医生、微医、春雨医生等都在布局在线咨询、线上问诊等业务，并取得了不错的成绩。面对来自市场的竞争压力，丁香园需要考虑如何快速、平稳地发展to C业务。一种方案是保持目前的节奏，继续稳扎稳打，执行严格的医生准入制度和较高的服务标准，以便给患者提供良好的线上咨询体验；另外一种方案是效仿嘀嘀打车等互联网企业的发展模式，借用风险投资的力量快速地占领to C市场。考虑到to C行业的发展速度，丁香园的管理团队需要对此及时做出决策。
吉利收购沃尔沃之后的战略整合与协同效应,FDC-19007-1X-CC,吉利汽车,doi.org/10.12156/FUDAN.CASE201900701,综合管理,制造,复旦大学管理学院,标准案例,"MBA,EMBA",2019-08-14,刘明宇,"张洁友,阳雁琤",中文,"收购,战略整合,协同效应,知识产权,汽车",,23,12,"2010年吉利收购沃尔沃，时隔多年吉利又接连收购马来西亚DRB旗下宝腾汽车49.9％的股份和豪华跑车品牌路特斯51％的股份，并入股沃尔沃集团和戴姆勒集团，由创业早期的地方民营企业稳步成长为一家全球性公司。
作为吉利走向全球的关键一步，吉利收购沃尔沃究竟产生了哪些影响？考察汽车行业并购的案例，失败者居多。本案例通过回顾吉利收购沃尔沃的动机，分析了吉利实现收购协同效应的具体举措，包括战略定位协同、组织与文化整合、建立创新协同机制、建立知识产权保护与合规体系等，从而引导读者思考：企业如何更加有效地进行收购后的整合，如何协同创新，从而实现与各利益相关方共赢？"
复星通：复星生态系统赋能者,FDC-19008-1X-CC,复星,doi.org/10.12156/FUDAN.CASE201900801,信息技术,生物技术/大健康,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2019-09-18,黄丽华,卫学启，陈文波,中文,"企业社会化媒体,企业服务软件,互联网平台,互联网生态系统,赋能",,15,9,复星作为一个大型企业集团在面临沟通困难时，与钉钉共创“复星通”作为企业沟通和内部管理提升的工具，解决了企业沟通、内部办公与协同问题，并通过确立复星通战略，重塑扁平化组织。其他企业能否复制钉钉-复星通模式呢？
长安汽车的第三次创业,FDC-19009-1X-CC,长安汽车,doi.org/10.12156/FUDAN.CASE201900901,综合管理,制造,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2019-09-18,刘明宇,张洁友,中文,"创业,品牌向上,转型升级,汽车,新能源",,17,16,伴随着互联网技术、新能源政策以及新一代消费者的需求变化，长安汽车于2018年启动了第三次创业计划，以产品创新、品牌升级为基础，由传统汽车企业加速向智能出行的科技公司转型。然而，如何在当前业绩下滑与布局未来商机之间取舍与平衡，成为管理层正经受的严峻考验。
步步高：如何让零售智慧转型,FDC-19011-1X-CC,步步高集团,doi.org/10.12156/FUDAN.CASE201901101,市场营销,贸易/批发/零售,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2019-09-24,褚荣伟,吴菲婷,中文,"智慧零售,转型,线上,线下,数字化",数字中国,31,8,经过2013至2017这5年的“迷失”，伴随着传统零售行业的转型之痛，步步高从2018年开始重新对公司进行数字化战略转型。 虽然主要服务于区域市场，但如同很多全国性或地方性的零售企业一样，面对电商的线下布局，步步高也感受到了前所未有的压力。随着步步高渐渐转变战略思维，从商品运营转向用户运营，从商业价值管理转向顾客价值管理，步步高通过与腾讯、京东的合作迈出了提升消费体验的关键第一步。但由于零售运营的效率不够高，尤其是2018年步步高商业市值缩水显著，步步高如何找到并坚持合适于自身的智慧零售转型模式，成为摆在管理者眼前的挑战之一。
老板电器：打造高端品牌,FDC-19012-1X-CC,老板电器,doi.org/10.12156/FUDAN.CASE201901201,市场营销,制造,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2019-10-23,褚荣伟,,中文,"品牌战略,品牌年轻化,厨电行业,渠道下沉",,23,8,2018年上半年，受地产后周期负面影响，厨电行业首次迎来销售下滑。在厨电寒潮大背景下，三四线市场和年轻消费者群体或成行业新驱动力。为适应市场发展的需求，厨电行业龙头企业老板电器较早确定“高端品牌”的品牌路线，根据不同的细分市场对主营产品油烟机进行了多品牌布局。虽然老板电器的多品牌布局已初见规模，但新品牌、新品类的营业收入占比不高，主营品牌老板在年轻人群体中认知度欠缺。2018年老板电器营业收入和利润保持个位数增长，曾经十位数甚至50%以上增长的辉煌难再现。老板电器如何找到并坚持适合自身的高端品牌之路，打破僵局，稳固厨电龙头企业地位成为摆在管理者面前的挑战之一。
微金融：“微粒贷”与“飞贷”,FDC-19013-1X-CC,微众银行、飞贷公司,doi.org/10.12156/FUDAN.CASE201901301,金融与财务,金融/保险,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2019-10-30,姚志勇,黄尧,中文,"微金融,信息不对称,风险控制,微粒贷,P2P","科创,数字中国",15,7,2015年，起点不同发展历程迥异的两家企业——微众银行和飞贷公司，瞄准相同的市场，推出了相似的微金融产品，“微粒贷”和“飞贷”。四年过去了，微金融行业风雨飘摇，“微粒贷”和“飞贷”依然是行业中的翘楚。本案例选取了在互联网金融与普惠金融领域迄今为止经营比较成功的两家企业，一大一小，发展历程和管理风格迥异，通过分析它们运用金融科技应对信息不对称等挑战的方法和策略，总结出供同业参考的经验和教训。
宝龙地产供应链金融ABS实践——探索企业融资新途径,FDC-19014-1X-CC,宝龙地产,doi.org/10.12156/FUDAN.CASE201901401,金融与财务,房地产/租赁,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2019-10-30,罗妍,,中文,"资产支持证券化,供应链金融,信用风险",,19,8,融资难一直是我国中小企业发展中面临的主要困境。供应链金融ABS作为融资的新渠道，为处在供应链上下游的中小企业提供及时、低成本的金融服务，受到了越来越多的关注。这一新型的融资方式在满足中小企业资金需求的同时也受到了政策的支持，成为市场的热点。供应链金融ABS以核心企业为出发点，重点关注围绕在核心企业上下游的中小企业融资诉求，通过供应链系统信息的有效传递，实现供应链上各个企业的共同发展，持续经营。本案例以国内首单AA+储架供应链ABS“平安汇通-宝龙-联易融供应链1号资产支持专项计划”为例，对供应链金融ABS进行全面介绍。
SPAC：中国企业海外上市新模式——以太平洋证券收购播思国际控股为例,FDC-19015-1X-CC,太平洋证券,doi.org/10.12156/FUDAN.CASE201901501,金融与财务,金融/保险,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2019-10-30,罗妍,,中文,"IPO,海外上市,反向并购,SPAC",,17,9,SPAC（Special Purpose Acquisition Corporation，特殊目的并购公司），是美国资本市场特有的一种境外借壳上市模式。SPAC上市融资方式不同于传统的IPO或借壳上市，它集中了直接上市、合并、反向收购、私募等金融产品特征及目的于一体，并优化各个金融产品的特征，集中于一个金融产品，完成企业上市融资之目的。SPAC是继IPO、买壳上市之后更适合国内中小企业海外融资上市的一种新方式，具有速度快、门槛低的特点。本案例以太平洋证券旗下特别并购公司完成的国内首单SPAC项目为例，对SPAC这一模式从交易基本流程、独特优势、交易结构、估值方式等方面进行全面介绍。
Club factory： 技术使能的新型跨境零售电商,FDC-19016-1X-CC,嘉云数据,doi.org/10.12156/FUDAN.CASE201901601,运营与管理科学,贸易/批发/零售,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2019-11-28,卢向华,张春依,中文,"数字化,跨境电商,智能技术,模式创新",科创,11,7,本案例描述了2016年注册成立的Club Factory 如何以提供技术服务商身份进入跨境零售电商行业，并成长为具有一定规模的技术驱动型的新型跨境零售电商。主要探讨在跨境零售这一新兴产业中，技术驱动型的企业如何弯道超车，形成自己的优势，并讨论在未来这一类企业应如何巩固优势，进一步成长壮大。
解密量化投资——以上海国富投资管理有限公司为例,FDC-19017-1X-CC,上海国富投资管理有限公司,doi.org/10.12156/FUDAN.CASE201901701,金融与财务,金融/保险,复旦大学管理学院,标准案例,"MBA,EMBA",2019-12-05,罗妍,,中文,"量化投资,量价指标,舆情指标",,21,11,量化投资以先进的数学模型代替人为主观判断，强调投资的纪律性和系统性，克服贪婪、恐惧、侥幸等人性的弱点和认知偏差，减少非理性的投资者情绪对于投资决策的影响。由于量化基金募集门槛较高，只向少量合格投资者开放，构成其核心竞争力的投资策略也不公开披露，因此长期以来对外界显得十分神秘。本案例依据对上海国富投资管理有限公司的深度调研访谈，对量化投资进行全面介绍，帮助读者了解量化投资的实践。
汇通达：探索农村产业互联网平台的构建之路 ,FDC-19018-1X-CC,汇通达,doi.org/10.12156/FUDAN.CASE201901801,信息技术,贸易/批发/零售,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2019-12-05,卢向华,,中文,"数字化,转型,农村市场,产业互联网","科创,中国式现代化",14,10,作为一家深耕农村市场的“独角兽”企业，汇通达自2010年创立以来，先后经历了家电经销商到供应链平台、O2O服务平台、产业互联网平台的主要历程。然而，随着商业生态系统中的会员店越来越多，经营的商品、提供的服务越来越丰富，农村产业互联网的深度、广度、复杂度逐渐增强。作为一个农村产业互联网的网主，汇通达应该如何更好地利用数字化手段支持产业互联网商业模式，带动更多的创新业务以创造网络价值的最大化？ 
让天下没有难卖的菜——宋小菜改造中国农业的尝试,FDC-19019-1X-CC,宋小菜,doi.org/10.12156/FUDAN.CASE201901901,运营与管理科学,贸易/批发/零售,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2020-01-02,卢向华 ,张春依,中文,"供应链,农业互联网,电商",中国式现代化,15,9,案例企业“宋小菜”借助互联网的力量，改善了传统农产品B2B交易落后的商业模式，并一步步地减少了生鲜蔬菜的交易环节、优化了生鲜蔬菜从农田到菜场的干线物流效率，甚至通过以销定产，帮助农户和合作社扩大生产规模，改进生产方式，提高生产力，并最终实现一个完整的生鲜蔬菜产业互联网平台，成为新一代农产品B2B电商的重要典范，为改造我国落后的农业贡献了自己的一份力量。
苏宁数字化下沉的新模式—顺势而为、乘势而起,FDC-20001-1X-CC,苏宁云商,doi.org/10.12156/FUDAN.CASE202000101,战略,贸易/批发/零售,复旦大学管理学院,标准案例,MBA,2020-01-20,卫田,刘书琴,中文,"企业转型,零售云,数字化,电商",数字中国,16,11,本案例描述了苏宁云商在2015年面对互联网行业的高速发展，在实施战略转型的重大决策后，响应国家号召和行业发展趋势，开展数字化下沉业务的全过程。经历了1.0模式和2.0模式，最后到苏宁渠道下沉新模式（零售云）的搭建，尽管集团的数字化下沉战略在正确的轨道上持续推进，但同样面临着诸多问题与挑战。
赶场小站：连接地方政府与农户的致富纽带,FDC-20002-1X-CC,赶场小站,doi.org/10.12156/FUDAN.CASE202000201,战略,贸易/批发/零售,复旦大学管理学院,标准案例,MBA,2020-02-27,卫田,,中文,"联盟资产,政商联盟,农村电商,价值链",中国式现代化,21,10,赶场小站是四川省仁寿县一家农村电商服务企业，从创立至今虽然在业务拓展上取得了一定的成绩，但也存在两大切实问题：第一，赶场小站从2014年运营至今尚未盈利；第二，在现有的482个站点中有三分之一站点都不活跃，而低效运营可能会会拖垮赶场小站。赶场小站的现状与其初衷——“让小农小户足不出户多赚一块钱，多省一块钱”存在不小差距。作为承接农村电商的实践者，赶场小站该何去何从？
品胜转型：传统制造业走向产业互联网,FDC-20003-1X-CC,品胜电子,doi.org/10.12156/FUDAN.CASE202000301,创新创业,制造,复旦大学管理学院,标准案例,"MBA,EMBA",2020-03-03,宁钟,张洁友,中文,"转型,服务,产业互联网,平台,战略",数字中国,16,12,作为一名极具创新意识的创业者，赵国成带领品胜公司经历了重大转型：从进军手机充电宝开始，第一阶段独创了“当日达”线上到线下的全渠道模式，由传统制造业向产品+服务转型；第二阶段利用IT技术搭建起手机维修产业互联网平台——千机网，为手机及零部件厂商、维修店、用户提供售后服务。与此同时，赵国成又利用其产业互联网基础系统“飞钉”为更多行业提供系统搭建服务。对赵国成来说，产业互联网及由此衍生的软件服务可望成为集团利润新的开源，而品胜电子的传统制造则依旧奠定了营业收入的基石。他该如何权衡布局？
伽蓝集团,FDC-20004-1X-CC,伽蓝集团（上海自然堂集团有限公司）,doi.org/10.12156/FUDAN.CASE202000401,市场营销,贸易/批发/零售,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2020-03-24,蒋青云,孙天佩，陈扬波,中文,"渠道,战略,品牌定位,品牌管理结构,化妆品",,15,5,伽蓝集团（自然堂）是创始人郑春影 2001 年创业于上海的本土化妆品企业，目标是成为像欧莱雅那样的世界级化妆品企业。在企业发展过程中，伽蓝集团逐步推出了自然堂、美素、医婷、植物智慧和春夏等多个品牌，分别针对不同的细分市场，形成了差异化的品牌架构。但面对新兴消费市场的崛起，电子商务的发展，伽蓝集团如何重新甄别市场机会，确认品牌价值定位，为本土的化妆品品牌走出一条胜利征途？
三只松鼠：从线上“先发”到线下“后发”,FDC-20005-1X-CC,三只松鼠,doi.org/10.12156/FUDAN.CASE202000501,创新创业,贸易/批发/零售,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2020-04-03,包季鸣,张洁友,中文,"线上,线下,创新,平台,休闲食品",数字中国,21,13,作为一家新经济环境下的草根创业企业，三只松鼠公司从2012年创立以来，率先搭借互联网的东风，经过持续多年的快速发展，一跃成为国内食品电商巨头。2017年之后伴随电商红利减弱，章燎原开始寻求迅速切入线下市场。从直营的松鼠投食店，到阿里零售通直达社区“夫妻老婆店”，再到松鼠联盟小店，章燎原希望通过全渠道布局进一步提升用户体验。尽管线下占有85%的市场份额，但作为后来者，三只松鼠的全渠道举措、尤其是万家联盟小店能助其再创奇迹吗？
OPPO,FDC-20006-1X-CC,OPPO,doi.org/10.12156/FUDAN.CASE202000601,战略,互联网/信息/通讯,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2020-04-15,曾成桦,赵堃,中文,"渠道,技术创新,战略,手机",,13,13,OPPO 创立于2004年，历经了中国手机市场的兴起、移动互联网浪潮以及智能手机市场的繁荣。在2019年MWC 世界移动通信大会前夕，OPPO 已经成功开发出“折叠屏”的工程样机，并经过市场部的测试使用。然而，三星已经在大会开始之前率先发布了首款内折式折叠屏手机Galaxy Fold，并预计在2019年上半年进行量产发售；华为也发布了其外折式折叠屏手机Mate X的概念机，并预计在2019年6月正式发售。面对外部的竞争压力，OPPO 是否应该在本次大会上发布其“折叠屏”概念机，从而避免失去市场先机？
曹家梨：基层党组织带领的乡村振兴之路,FDC-20007-1X-CC,曹家镇党支部,doi.org/10.12156/FUDAN.CASE202000701,战略,社会和非盈利组织,复旦大学管理学院,标准案例,MBA,2020-04-17,卫田,赵佳妮,中文,"乡村振兴,曹家梨,基层党组织",中国式现代化,20,12,曹家镇是一个基础比较好的农业镇，以种梨为主业，当地的梨子有着响当当的“曹家贡梨”的美称。对曹家镇新任党委书记黄勇来说，如果能成功地把曹家梨做大做强，不仅可以助力当地发展，也是证明其能力的一个大好机会。但是，黄勇面对的曹家镇，也存在种种问题。曹家梨品质佳，但是卖不出好价钱，品牌不够响亮，农民没有致富良方。究竟如何让曹家梨更好地发挥价值，带领村民走上康庄大道，成为黄勇日思夜想的难题。
亚朵：始于酒店 不止于酒店,FDC-20008-1X-CC,亚朵酒店,doi.org/10.12156/FUDAN.CASE202000801,市场营销,酒店/住宿/餐饮,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2020-05-18,张喆,杨华颖，王馨萌，张潇扬,中文,"服务利润链,人文主义营销,感官营销,第四空间,品牌价值",,24,18,亚朵是以阅读和摄影为主题的人文酒店，致力于向新中产消费者提供优质的酒店服务和生活方式产品。从功能单一的住宿酒店起步，再到IP酒店和社区酒店，亚朵逐步走入人们的“第四空间”。一直以来，亚朵围绕人文酒店逐步打造出了属于亚朵独特的文化体系，并以此赢得了用户的好评。但在发展过程中，如何平衡快速扩张、科技赋能等对人文特色的稀释，是亚朵当下面临的困惑。
雅力教育：国际教育行业的“吉利模式”探索,FDC-20009-1X-CC,雅力教育,doi.org/10.12156/FUDAN.CASE202000901,创新创业,教育服务,复旦大学管理学院,标准案例,MBA,2020-05-22,姚凯  ,张春依，李思志,中文,"国际教育,吉利模式,战略创业",,12,13,雅力教育集团是海归胡靖在上海创办的一家企业，从2012年以来主攻高中国际部的办学，相继创办了十余所包括上海、广州、无锡、宁波等地知名中学的国际部。雅力通过收购优质品牌借力发展，摸索出了一条适合自己的赛道。胡靖相信在拥有了两所示范学校办学模式与“中西融合”的教育模式之后，规模化增长一定可期。但在复制轻资产的成功模式与打造教育生态圈的多元化经营之间如何权衡，是当下面临的挑战。
新榜：服务内容产业 内容服务产业,FDC-20010-1X-CC,新榜,doi.org/10.12156/FUDAN.CASE202001401,战略,专业/科学/技术服务,复旦大学管理学院,标准案例,"MBA,高层管理",2020-07-22,郁培文,忻肖帆,中文,"内容,服务,数据,技术",数字中国,14,11,新榜是一家定位于内容产业的服务平台企业，连接内容生产方和广告主。作为价值匹配枢纽，新榜在行业大背景下，不仅扮演了专业数据咨询机构，也扮演了咨询者、教育者、代理运营商、内容版权交易、IP孵化甚至产业链投资等更多元的角色。一方面新榜用更多商业模式追求利润，另一方面造成业务线过广的现状，这一模式是否具有可持续性？
简单汇：如何让科技赋能供应链金融,FDC-20011-1X-CC,简单汇,doi.org/10.12156/FUDAN.CASE202001601,运营与管理科学,专业/科学/技术服务,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2020-07-24,陈祥锋,杨颂，文庆盈,中文,"互联网+供应链金融,金融科技,互联网+区块链",数字中国,12,12,简单汇信息科技公司诞生于TCL集团内部生态链，后来逐渐发展成为独立第三方金融平台。简单汇的主要产品“金单”作为应收账款的电子债券凭证，借助区块链技术可以在线完成依托债权债务的确权、抵消和转让，在平台内部企业间进行拆分、流转或通过金融机构开展融资，确保了交易的有效性与安全性。本案例将通过梳理简单汇的发展历程及对“金单”与区块链技术应用的分析，重点探讨了金融科技如何赋能供应链金融。
永慈康复的智慧服务：人单合一的实践,FDC-20012-1X-CC,上海永慈康复医院,doi.org/10.12156/FUDAN.CASE202001701,"市场营销,服务管理",生物技术/大健康,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2020-07-27,张喆,杨华颖，刘心怡,中文,"智慧服务,人单合一,物联网与智能+",中国式现代化,23,20,上海永慈康复医院是海尔医疗领域孵化的首家医院，在其连年获得快速发展的同时，正面临新的挑战：一方面，随着物联网与智能+时代的到来，AI、5G等技术不断升级迭代，永慈基于物联网的服务体系需要持续推进；另一方面，组织的创新成长离不开人才这一核心要素，医院作为知识密集型专业服务领域，对专业型人才的需求也与日俱增。未来，永慈应该如何前行，使得技术的引入和人才的培养得以平衡，从而用有温度的智慧服务体系支持永慈的可持续增长，以物联网思维实现重症康复产业的升级迭代？
洽洽食品：从瓜子冠军到坚果新军,FDC-20013-1X-CC,洽洽食品,doi.org/10.12156/FUDAN.CASE202002001,战略,贸易/批发/零售,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2020-08-21,李治国,张洁友，沈梦媛,中文,"转型,供应链,组织,战略,休闲食品",,16,13,从2001年正式创立到2011年上市，洽洽食品创始人陈先保不仅打造了一个家喻户晓的瓜子品牌，还在十年时间里登上袋装瓜子领域的冠军宝座。从2010起，洽洽在稳步占有瓜子市场的优势地位后，图谋开辟新的产品业务线，以此应对瓜子市场增长的瓶颈。洽洽曾先后尝试进军薯片、果冻等零食产品但屡屡受挫。 2017年后，洽洽以每日坚果为突破口进军坚果市场，在两年内完成了从2.4亿元到8.25亿元的跨越。2019年，陈先保正式宣布实施坚果作为第二业务线战略。从瓜子冠军到坚果新军，洽洽该如何在两者间平衡？
网易严选：新消费时代的品质电商,FDC-20014-1X-CC,网易,doi.org/10.12156/FUDAN.CASE202002201,经济,贸易/批发/零售,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2020-08-27,李玲芳,徐煜萌，武宇婷,中文,"电商平台,电商品牌,商业模式,ODM,品质",,22,19,网易严选是网易旗下原创生活类自营电商品牌，于2016年4月正式上线，在国内开创了ODM（原创设计制造商）的电商模式，打造了电商品牌概念。在三年多的时间里，网易严选已经发展出十大品类万余个品种的业务规模，并且在中国品质电商类新国货口碑中获得好评。 网易严选的运营模式旨在深入上游产业链与供应商合作，剔除中间环节及议价，成为制造业和消费者间的直接桥梁，从而与普通电商平台只担任“撮合”的角色错位。但作为新消费时代的“排头兵”，如何真正成为“精品国民消费品牌”，仍然是亟待解决的课题。
